title,url
Studio Type The Grass Residence,https://www.airbnb.com/rooms/45858507?previous_page_section_name=1000&federated_search_id=771f9784-bd44-4af7-92d5-7e2b678c8f1f
Abby's Place,https://www.airbnb.com/rooms/45569962?previous_page_section_name=1000&federated_search_id=771f9784-bd44-4af7-92d5-7e2b678c8f1f
Balai Ni Kuya Condo-Feel Apartment Unit,https://www.airbnb.com/rooms/39305420?previous_page_section_name=1000&federated_search_id=771f9784-bd44-4af7-92d5-7e2b678c8f1f
"1 Bedroom w/ Balcony at Trees Residences, Fairview",https://www.airbnb.com/rooms/23222443?previous_page_section_name=1000&federated_search_id=771f9784-bd44-4af7-92d5-7e2b678c8f1f
Condo Village at Trees Residences,https://www.airbnb.com/rooms/22454349?previous_page_section_name=1000&federated_search_id=771f9784-bd44-4af7-92d5-7e2b678c8f1f
Up and Down House at North Olympus Zabarte Q.C.,https://www.airbnb.com/rooms/33947836?previous_page_section_name=1000&federated_search_id=771f9784-bd44-4af7-92d5-7e2b678c8f1f
KC's Staycation at Trees Residences with Netflix,https://www.airbnb.com/rooms/29097398?previous_page_section_name=1000&federated_search_id=771f9784-bd44-4af7-92d5-7e2b678c8f1f
Doc's Place 3 @ Trees Residences,https://www.airbnb.com/rooms/48337004?previous_page_section_name=1000&federated_search_id=771f9784-bd44-4af7-92d5-7e2b678c8f1f
STAYCATION AT TREES RESIDENCES TOWER 8 QUEZON CITY,https://www.airbnb.com/rooms/48250044?previous_page_section_name=1000&federated_search_id=771f9784-bd44-4af7-92d5-7e2b678c8f1f
Own simple place in quezon city,https://www.airbnb.com/rooms/30485436?previous_page_section_name=1000&federated_search_id=771f9784-bd44-4af7-92d5-7e2b678c8f1f
1st Floor-1 Bedroom w/ Balcony at Trees Residences,https://www.airbnb.com/rooms/31105847?previous_page_section_name=1000&federated_search_id=771f9784-bd44-4af7-92d5-7e2b678c8f1f
Gorgeous Hideout,https://www.airbnb.com/rooms/37326549?previous_page_section_name=1000&federated_search_id=771f9784-bd44-4af7-92d5-7e2b678c8f1f
Bakasyonan Sa Norte  Grass Residences @ Fern,https://www.airbnb.com/rooms/40575643?previous_page_section_name=1000&federated_search_id=771f9784-bd44-4af7-92d5-7e2b678c8f1f
Trees Condo,https://www.airbnb.com/rooms/33013399?previous_page_section_name=1000&federated_search_id=771f9784-bd44-4af7-92d5-7e2b678c8f1f
Rp's Whitehouse at the heart of Novaliches,https://www.airbnb.com/rooms/43820775?previous_page_section_name=1000&federated_search_id=771f9784-bd44-4af7-92d5-7e2b678c8f1f
"SM Trees, 1 bed room, 55""TV,heater, 50Mbps,Ref,etc",https://www.airbnb.com/rooms/35971962?previous_page_section_name=1000&federated_search_id=771f9784-bd44-4af7-92d5-7e2b678c8f1f
The Avenue Residences,https://www.airbnb.com/rooms/15710084?previous_page_section_name=1000&federated_search_id=771f9784-bd44-4af7-92d5-7e2b678c8f1f
Shirley's Place 2,https://www.airbnb.com/rooms/38480374?previous_page_section_name=1000&federated_search_id=771f9784-bd44-4af7-92d5-7e2b678c8f1f
Grass One Bedroom Condo With Fast Wi-Fi,https://www.airbnb.com/rooms/17583213?previous_page_section_name=1000&federated_search_id=771f9784-bd44-4af7-92d5-7e2b678c8f1f
Steve's 1st StudioCondo w/ Balcony The North Grove,https://www.airbnb.com/rooms/22041339?previous_page_section_name=1000&federated_search_id=771f9784-bd44-4af7-92d5-7e2b678c8f1f
condo in Quezon City w/ High Fiber Wifi,https://www.airbnb.com/rooms/30696576?previous_page_section_name=1000&federated_search_id=6c448fb2-d979-472d-8619-92d39c6a6c6d
Fully air conditioned & 2rooms for the whole fam♥️,https://www.airbnb.com/rooms/9716624?previous_page_section_name=1000&federated_search_id=6c448fb2-d979-472d-8619-92d39c6a6c6d
"Clean , cozy and fully furnished 1 bedroom space",https://www.airbnb.com/rooms/35354597?previous_page_section_name=1000&federated_search_id=6c448fb2-d979-472d-8619-92d39c6a6c6d
Best Value: 53-Sqm Condo With Hot Tub & Balcony,https://www.airbnb.com/rooms/35787204?previous_page_section_name=1000&federated_search_id=6c448fb2-d979-472d-8619-92d39c6a6c6d
Compound home,https://www.airbnb.com/rooms/41834227?previous_page_section_name=1000&federated_search_id=6c448fb2-d979-472d-8619-92d39c6a6c6d
Trees Residences The Journey Home,https://www.airbnb.com/rooms/32477138?previous_page_section_name=1000&federated_search_id=6c448fb2-d979-472d-8619-92d39c6a6c6d
Cozy Cool Queen Bed for 2 with WIFI and TV Room D,https://www.airbnb.com/rooms/22132719?previous_page_section_name=1000&federated_search_id=6c448fb2-d979-472d-8619-92d39c6a6c6d
New cozy Studio type condo unit in Quezon City,https://www.airbnb.com/rooms/33982461?previous_page_section_name=1000&federated_search_id=6c448fb2-d979-472d-8619-92d39c6a6c6d
Day Unit/ Early Check In Condo in Cubao for 10 hrs,https://www.airbnb.com/rooms/36869549?previous_page_section_name=1000&federated_search_id=6c448fb2-d979-472d-8619-92d39c6a6c6d
"Super Fresh, Brand New Condo,w/Balcony,Unli Wifi",https://www.airbnb.com/rooms/48390414?previous_page_section_name=1000&federated_search_id=6c448fb2-d979-472d-8619-92d39c6a6c6d
Quezon City Studio Unit -I (FURNISHED w/ BUNK BED),https://www.airbnb.com/rooms/36514718?previous_page_section_name=1000&federated_search_id=6c448fb2-d979-472d-8619-92d39c6a6c6d
Place at the heart of the city,https://www.airbnb.com/rooms/48660999?previous_page_section_name=1000&federated_search_id=6c448fb2-d979-472d-8619-92d39c6a6c6d
Modern Walk to SM mall 1BR WIFI,https://www.airbnb.com/rooms/4356447?previous_page_section_name=1000&federated_search_id=6c448fb2-d979-472d-8619-92d39c6a6c6d
*NEW* Modern Walk to SM mall 1Br WIFI,https://www.airbnb.com/rooms/26686481?previous_page_section_name=1000&federated_search_id=6c448fb2-d979-472d-8619-92d39c6a6c6d
Cozy 1 Bedroom Condo @ Trees Residences Fairview,https://www.airbnb.com/rooms/16981361?previous_page_section_name=1000&federated_search_id=6c448fb2-d979-472d-8619-92d39c6a6c6d
"1 BR.wifi,Netflix&Game Corner..well sanitized@QC",https://www.airbnb.com/rooms/39587221?previous_page_section_name=1000&federated_search_id=6c448fb2-d979-472d-8619-92d39c6a6c6d
Affordable 5-Star Condo in a 5-Star Location,https://www.airbnb.com/rooms/40515322?previous_page_section_name=1000&federated_search_id=6c448fb2-d979-472d-8619-92d39c6a6c6d
The Grayhouse at the heart of Novaliches,https://www.airbnb.com/rooms/47733788?previous_page_section_name=1000&federated_search_id=6c448fb2-d979-472d-8619-92d39c6a6c6d
Fresh & Cozy Studio in Valenzuela | Wifi | Netflix,https://www.airbnb.com/rooms/47421416?previous_page_section_name=1000&federated_search_id=6c448fb2-d979-472d-8619-92d39c6a6c6d
"RON's PLACE, ideal for staycation, stylish, cozy",https://www.airbnb.com/rooms/42634780?previous_page_section_name=1000&federated_search_id=6c448fb2-d979-472d-8619-92d39c6a6c6d
"3-5 mins walk to Big Malls, Alfamart & fast foods",https://www.airbnb.com/rooms/42021337?previous_page_section_name=1000&federated_search_id=8840032b-44ec-4fb3-95b4-6ec557a2053f
