FID,name,latitude,longitude,Province
1,Awang Airport,7.16443,124.21,Maguindanao
2,Bacolod Airport,10.642,122.929,Negros Occidental
3,Basco Airport,20.4513,121.98,Batanes
4,Butuan Airport,8.95143,125.479,Agusan del Norte
5,Laguindingan Airport,8.41562,124.611,Misamis Oriental
6,Catbalogan Airport,12.0723,124.545,Samar
7,Cauayan Airport,16.9296,121.753,Isabela
8,Cuyo Airport,10.8477,121.009,Palawan
9,D.Z. Romualdez Airport,11.2266,125.026,Leyte
10,Diosdado Macapagal International Airport,15.1858,120.56,Pampanga
11,Dipolog Airport,8.60218,123.342,Zamboanga del Norte
12,Dumaguete Airport,9.33385,123.302,Negros Oriental
13,El Nido Airport,11.2025,119.416,Palawan
14,Evelio Javier Airport,10.7671,121.932,Antique
15,Francisco Bangoy International Airport,7.12759,125.643,Davao del Sur
16,General Santos International Airport,6.05561,125.101,South Cotabato
17,Iloilo International Airport,10.841,122.501,Iloilo
18,Jolo Airport,6.05367,121.011,Sulu
19,Kalibo Airport,11.6811,122.377,Aklan
20,Labo Airport,8.18184,123.844,Misamis Occidental
21,Laoag International Airport,18.1781,120.532,Ilocos Norte
22,Legazpi Airport,13.1574,123.735,Albay
23,Mactan-Cebu International Airport,10.31,123.98,Cebu
24,Mambajao Airport,9.25372,124.709,Camiguin
25,Marinduque Airport,13.3583,121.828,Marinduque
26,Masbate Airport,12.3702,123.63,Masbate
27,Mcguire Fld Airport,12.3615,121.047,Occidental Mindoro
28,Naga Airport,14.1292,122.98,Camarines Sur
29,Catarman Airport,12.504,124.638,Northern Samar
30,Ninoy Aquino International Airport,14.5097,121.014,Metro Manila
31,Ormoc Airport,11.0562,124.566,Leyte
32,Pagadian Airport,7.83032,123.462,Zamboanga del Sur
33,Puerto Princesa Airport,9.74143,118.757,Palawan
34,Coron Airport,12.1215,120.1,Palawan
35,Romblon Airport,12.3111,122.08,Romblon
36,Roxas City Airport,11.5976,122.753,Capiz
37,Sanga Sanga Airport,5.04699,119.743,Tawi tawi
38,Surigao Airport,9.76184,125.481,Surigao del Norte
39,Tagbilaran Airport,9.66473,123.854,Bohol
40,Tuguegarao Airport,17.6434,121.734,Cagayan
41,Virac Airport,13.5768,124.205,Catanduanes
42,Zamboanga International Airport,6.92141,122.06,Zamboanga del Sur
