FID,name,latitude,longitude
0,Daraga Bus Station,13.1478004,123.7109985
1,Jeepney Station,11.7004004,122.3690033
2,vans,11.9406004,121.939003
3,Bus Terminal,15.8774004,120.6019974
4,Bus Station,14.7236996,121.0419998
5,Baliwag Transit - Caloocan Terminal,14.6400003,120.9830017
6,Victory Lines Incorporation,14.6543999,120.9810028
7,Victory Liner Terminal,14.5384998,121.0070038
8,Victory Liner Caloocan Bus Terminal,14.6543999,120.9820023
9,Mcl Bus Garage,14.3774996,121.0510025
10,Mcl Bus Terminal,14.6308002,120.9639969
11,Santrans Terminal,14.7353001,121.0650024
12,Bus Station,14.6471004,120.9670029
13,Batangas Laguna Tayabas Bus Terminal,14.5396996,121.0070038
14,Green Star Bus,14.5527,120.9980011
15,Phil. Rabbit Bus Lines Terminal,14.6400995,120.9840012
16,Gloria Martinez Transit Terminal,14.6086998,120.9810028
17,Santa Monica Empress Terminal,14.6077003,120.9800034
18,Ceres Terminal,14.5361996,121
19,Bus Stop,10.6119003,124.026001
20,Bay Peak,10.9167004,119.3669968
21,Jeepney Terminal,14.8151999,121.0429993
22,Jeepney Terminal,14.8411999,121.0429993
23,Santrans - Muzon Terminal,14.8023996,121.0350037
24,Saint Rose Transit - Pacita Terminal,14.3492002,121.0650024
25,Maya Bus Terminal,11.2796001,124.0619965
26,Island Express,7.07582,125.6259995
27,Tower TODA,14.8360004,121.0780029
28,TODA Towerville,14.8413,121.0930023
29,Jeepney Terminal,13.2377996,123.7770004
30,Dau to San Fernando Jeep Station,15.1781998,120.5879974
31,Tagbilaran Integrated Bus Terminal,9.6563597,123.8720016
32,Superlines Bus Depot,14.6327,121.0770035
33,Naia - Domestic jeepney terminal,14.5271997,120.9990005
34,Morong Bus Terminal,14.6799002,120.2730026
35,Duptours Terminal,11.0059004,124.6080017
36,Saulog Transit - Ternate Terminal,14.2831001,120.7160034
37,Saint Anthony of Padua - Ternate Terminal,14.283,120.7149963
38,Jethro Liner - Ternate Terminal,14.2791004,120.7310028
39,Farmer's Market UV Express Station,14.6196003,121.052002
40,LCC Transport Station,13.6199999,123.177002
41,GT Express to Ayala,14.5759001,121.1210022
42,Malaybalay City Public Terminal,8.1480303,125.1330032
43,Valencia Transport and Integrated Terminal Complex,7.9308901,125.0979996
44,Makilala Bus Station,6.9617701,125.0839996
45,BGC Bus,14.5471001,121.0550003
46,Kidapawan City Overland Transport Terminal,7.0162101,125.0859985
47,Island City Express Bus Terminal,7.1363101,125.689003
48,3rd District Transport Cooperative terminal,7.1872301,125.4540024
49,Grand Star,14.5523005,120.9980011
50,Ceres Transport Pasay Terminal,14.5541,120.9970016
51,South Star Bus,14.5530005,120.9980011
52,BSC - Buendia Terminal,14.5537004,120.9970016
53,JVH,14.5382996,121.0039978
54,Celyrosa Bus Station,14.5365,121
55,Five Star - Pasay Terminal,14.5365,121.0039978
56,Matalam Bus Terminal,7.0837698,124.8990021
57,Hinunangan Bus Terminal,10.3944998,125.1999969
58,Trento Integrated Bus Terminal,8.0479603,126.0630035
59,Tagbina Public Terminal,8.4597197,126.1559982
60,Genesis Bus Station,14.8816996,120.5169983
61,Tandang Sora - Quezon City Hall Jeepney Terminal,14.6745996,121.0429993
62,SM City Davao Van Transit Terminal,7.0499201,125.586998
63,Bus Station,14.6140003,120.9970016
64,JAM Liner - Cabuyao Terminal,14.2465,121.1289978
65,Auto Bus,15.0277996,120.6760025
66,Iligan Bus Terminal,8.24158,124.2610016
67,Luacan Tours - Olongapo Terminal,14.8432999,120.2890015
68,Saulog Transit Bus Station,14.8261995,120.2839966
69,Philippine Rabbit - Angeles Terminal,15.1409998,120.5879974
70,FX Terminal,14.7212,121.0370026
71,School Bus,15.0375004,120.6969986
72,Nasipit Bus Terminal,8.9742002,125.3499985
73,Sn. Fdo-Bulaon Jeep Terminal,15.0299997,120.6920013
74,First North Luzon Transit - Hagonoy Terminal,14.8336,120.7340012
75,TSF-TSCI - San Fernando Terminal,15.0207005,120.6999969
76,Dapitan City Bus and Jeepney Terminal,8.6597099,123.4219971
77,Sumilao Bus Terminal,8.33634,124.9759979
78,Bus Station,15.3879995,120.9420013
79,Parking,14.9271002,121.0299988
80,Old Oroquieta City Bus Terminal,8.4942398,123.7990036
81,Florida,16.9071007,121.064003
82,ES Trans,15.4726,120.9690018
83,Aurora Trans,15.4723997,120.9690018
84,D Liner,15.4724998,120.9700012
85,Baliwag Bus,15.4724998,120.9690018
86,Five Star,15.4726,120.9690018
87,Joncy Liner - Ternate Terminal,14.2799997,120.7080002
88,Sulop Overland Transport Terminal,6.5833902,125.3539963
89,Kabacan Terminal Complex,7.11024,124.8130035
90,Bus Stop,7.10886,124.8209991
91,Kutoco Terminal,7.2244902,124.2490005
92,Mindanao Bus Transport Express,7.2228098,124.2509995
93,Public Bus Station,15.6866999,120.413002
94,UV Dau/Angeles Pampanga station,14.8074999,120.9410019
95,SM City Cagayan de Oro Transport Terminal,8.4565096,124.6240005
96,MVC Public Transport Terminal,7.9877601,125.0070038
97,Jeepney and Metrovan Parking,9.6281996,123.8880005
98,SM City Rosales Transport Terminal,15.8803997,120.6019974
99,Isarog Lines,14.6183004,121.0510025
100,Robinsons Dumaguete Tricycle Terminal,9.29883,123.3030014
101,Petron,14.6139002,121.0540009
102,Maria de Leon Bus Terminal,18.1665001,120.5910034
103,Fariñas - Laoag Terminal,18.1959991,120.5910034
104,RCJ Bus Line - Laoag Terminal,18.1961002,120.5910034
105,Raymond Transportation - Sampaloc Terminal,14.6013002,120.9980011
106,Bohol Tours,9.6534996,123.8499985
107,Saulog Transit Stop Over,14.8881998,120.5270004
108,JAC Liner - Balibago Terminal,14.2940998,121.1050034
109,Bataan Transit - San Fernando Terminal,15.0403996,120.6829987
110,Del Carmen - Santa Maria Terminal,14.8841,121.0149994
111,Tubigon Transport Terminal,9.9519796,123.961998
112,STOD Tricycle Terminal (Pembo-Rizal),14.5481997,121.0630035
113,Tanay Jeepney Terminal,14.4933996,121.2890015
114,Parkmall - Liloan Jeepney terminal,10.3248997,123.9329987
115,Tram Station,14.7504997,120.2669983
116,Tram Station,14.7503004,120.2659988
117,SM Fairview - Public Transport Terminal A,14.7341995,121.060997
118,AH Transporatation,14.4355001,121.4489975
119,Raymond Transportation,14.4356003,121.4489975
120,Longos to San Antonio Jeepney Terminal,14.3388996,121.4830017
121,Bus Station,17.6224995,121.7310028
122,Victory Liner,17.1438007,121.8880005
123,Victory Liner Motorpool,15.4004002,120.5960007
124,ACF Bus Line Motorpool,7.0907302,125.5920029
125,Baliwag Transit Bus Stop,15.4524002,120.7080002
126,4J Bus Stop and Fastfood,15.4499998,120.711998
127,Five Star Bus Stop,15.4463997,120.7190018
128,Five Star - Alaminos Terminal,16.1534996,119.9820023
129,Pangasinan Solid North Bus Terminal,16.4101009,120.5979996
130,Monkayo Bus Terminal,7.8204198,126.0540009
131,Kaputian Bus Terminal,6.9663501,125.7249985
132,San Agustin - Nasugbu Terminal,14.0719995,120.6330032
133,Jeepney Terminal,14.5880003,121.1740036
134,sppa toda terminal,14.5882998,121.1750031
135,San Carlos Jeepney Terminal,15.9301004,120.3460007
136,Five Star,15.9363003,120.3470001
137,Solid North - San Carlos Terminal,15.9378004,120.3460007
138,Pangasinan Solid North Bus Depot,16.0389004,120.3349991
139,Bayambang Dagupan Bus Terminal,16.0428009,120.3450012
140,Anda Mini Bus Terminal,16.0384007,120.3339996
141,Mogpog - Boac,13.4731998,121.8600006
142,Dagupan Bus Co. - Bolinao Terminal,16.3887005,119.8929977
143,Mini Bus Station,16.3889008,119.8929977
144,Cavite Jeepney Station,14.4365997,121.0059967
145,Tampakan Jeepney Terminal,6.4935398,124.8519974
146,North Bound Terminal,10.7572002,122.5749969
147,Citybus - Novaliches Terminal,14.7277002,121.0419998
148,Maitum Terminal,6.06358,124.4929962
149,Digos City New Satellite Bus Terminal,6.7393699,125.3659973
150,Digos City Jeepney Terminal,6.7485299,125.3550034
151,Dolores Loop,14.5653,121.1389999
152,Barobo Integrated Bus and Jeepney Terminal,8.5271397,126.1210022
153,Five Star - Manaoag Terminal,16.0410995,120.4889984
154,Bus for Manila,9.7110205,123.8720016
155,Manolo Fortich Bus & Jeepney Terminal,8.3663101,124.8649979
156,San Pedro bus and van molo Terminal,10.6990995,122.5469971
157,Ticud Jeepney Terminal,10.7142,122.5820007
158,GV Florida bus station - Cagayan Route,14.6089001,120.9929962
159,GV Florida - Sampaloc Terminal,14.6087999,120.9929962
160,Valencia Integrated Bus Terminal,7.9033399,125.0930023
