FID,amenity,name,latitude,longitude
0,restaurant,Kamakura Japanese Restaurant,14.5532999,120.9950027
1,restaurant,Max's,14.5326996,120.9940033
2,restaurant,Shakey's,14.5230999,121.0009995
3,restaurant,Conrad's Cafe and Grill,14.5264997,121.0000000
4,restaurant,Chowking,14.5310001,120.9940033
5,restaurant,Baracuda Cocktails and Seafood,12.9258003,123.5749969
6,restaurant,La Roca Suites & Restaurant,13.1562004,123.7460022
7,restaurant,Lola Ermas,12.9123001,123.5930023
8,restaurant,Ramboys Lechon and Restaurant,11.7158003,122.3539963
9,restaurant,Emerald Garden,14.5777998,120.9789963
10,restaurant,Spiral,14.5530996,120.9800034
11,restaurant,Phò Bac,14.5538998,121.0479965
12,restaurant,Zhu,14.5539999,121.0479965
13,restaurant,Pancake House,14.5511999,121.0500031
14,restaurant,Johnny B. Good,14.5523996,121.0260010
15,restaurant,L' Incontro,14.5656996,121.0230026
16,restaurant,Chihuahua,14.5517998,121.0199966
17,restaurant,Chicken Bacolod,14.5750999,120.9850006
18,restaurant,Cafe Nemoso,14.4832001,121.0350037
19,restaurant,Likha Diwa,14.6476002,121.0650024
20,restaurant,Racks,14.5846996,121.0609970
21,restaurant,Texas Roadhouse Grill,14.5507002,121.0500031
22,restaurant,Mang Pule's,14.8079004,121.0039978
23,restaurant,Pho 24,14.5646000,121.0360031
24,restaurant,Dulceline,14.6408005,121.0299988
25,restaurant,Pound by Todd English,14.5510998,121.0500031
26,restaurant,Chef Robert's Table,14.5106001,120.9990005
27,restaurant,TGI Friday's,14.5509996,121.0510025
28,restaurant,Kaya,14.5642996,121.0360031
29,restaurant,Greenery Kitchen,14.5720997,121.0139999
30,restaurant,Dampa,14.4947004,120.9919968
31,restaurant,Via Mare,14.5625000,121.0120010
32,restaurant,Garden Restaurant,14.5639000,121.0299988
33,restaurant,House of Mini's,14.5831003,121.0780029
34,restaurant,Shinjuku,14.5535002,121.0139999
35,restaurant,Kenny Rogers Roasters,14.5356998,120.9929962
36,restaurant,Zuchini,14.6296997,121.0319977
37,restaurant,Watami,14.5521002,121.0199966
38,restaurant,Ktv,14.5812998,121.0770035
39,restaurant,Pasto,14.5495996,121.0479965
40,restaurant,Bbq,14.6862001,121.0899963
41,restaurant,Mila's Lechon,14.6258001,120.9899979
42,restaurant,Grill 56,14.5812998,121.0599976
43,restaurant,Som's Noodle House,14.5677996,121.0240021
44,restaurant,Dencio's,14.5647001,121.0370026
45,restaurant,Smokeys,14.5628996,121.0110016
46,restaurant,My Steak N Grill,14.6346998,121.0309982
47,restaurant,Pizza Hut,14.6085997,121.0169983
48,restaurant,Coran Ihaw Ihaw Restaurant,14.8155003,120.9499969
49,restaurant,Max's Chicken,14.5767002,120.9840012
50,restaurant,Pizza Hut,14.5541000,121.0500031
51,restaurant,Highlands Steakhouse,14.5362997,120.9800034
52,restaurant,Cafe Caruso,14.5655003,121.0230026
53,restaurant,Buds,14.5813999,121.0599976
54,restaurant,Choi Garden,14.6050997,121.0550003
55,restaurant,New Kamameshi Sushi Bar,14.5644999,121.0019989
56,restaurant,Milky Way Café,14.5508003,121.0189972
57,restaurant,Yellow Cab Makati Ave,14.5668001,121.0309982
58,restaurant,Cucina Reposo,14.5677004,121.0240021
59,restaurant,Car Snack,14.5632000,121.0139999
60,restaurant,Sugi,14.5516996,121.0210037
61,restaurant,Gumbo,14.5764999,120.9840012
62,restaurant,Davids Teahaus,14.3316002,120.9390030
63,restaurant,Elbert's Steak Room,14.5611000,121.0260010
64,restaurant,Victorias Resto,14.8285999,121.0429993
65,restaurant,Pizza Hut,14.6788998,121.0319977
66,restaurant,Clawdaddy's,14.5499001,121.0520020
67,restaurant,Buddy's,14.5672998,121.0220032
68,restaurant,Kiko Suares Restaurant,14.5755997,121.0979996
