FID,name,latitude,longitude
0,Liana's,14.5474005,120.9960022
1,SaveMore Market,14.5379000,121.0000000
2,Robinson's Supermarket,14.6352997,121.1019974
3,Rustan's Fresh Market,14.5361004,121.0189972
4,Rj Supermarket,14.5594997,121.0839996
5,Puregold Jr.,14.5857000,121.0019989
6,Republic Supermarket,14.6028996,120.9820023
7,Savemore,14.4622002,120.9619980
8,cambridge prep,14.4225998,121.0299988
9,St Patrick,14.6292000,121.0569992
10,F. T. I. Retail Market,14.5087004,121.0449982
11,Welcome Supermarket,14.6175003,121.0019989
12,Rustan's Supermarket,14.5998001,121.0690002
13,Sänti's Delicatessen,14.5999002,121.0690002
14,CAS Hypermart,14.0705004,121.3229980
15,WalterMart,14.6216002,121.0199966
16,Puregold Cainta,14.6197996,121.1019974
17,Unitop,14.2881002,121.4110031
18,Johann Commercial,10.3262997,123.9520035
19,Home Depot,14.9427004,120.8820038
20,South Supermarket,14.6470003,121.0979996
21,Puregold,14.3467999,121.0650024
22,Healtea Savemore Emall,10.2980003,123.8949966
23,Metro Fresh & Easy,10.3329000,123.9489975
24,Robinsons Supermarket,14.0965004,120.9420013
25,Robinson's Supermarket,14.4459000,121.0279999
26,Tropical Hut Supermarket,14.4456997,121.0289993
27,Market Basket,7.1019802,125.6330032
28,168 Hypermart,10.3121004,123.9499969
29,Narvacan Mall,17.4263992,120.4739990
30,Shopwise,14.4188004,121.0410004
31,Felcris Supermarket,7.0694399,125.6050034
32,Cyotto Stop,14.5537004,121.0139999
33,New Day Marketing,7.0140200,125.4950027
34,Suncor Grocery,7.0147300,125.4980011
35,Robinsons victoria tower,14.6362000,121.0279999
36,Rustan,14.6360998,121.0360031
37,Robinson's Starmills,15.0500002,120.6989975
38,Puregold,15.0396004,120.6800003
39,Honda desmark,14.4368000,120.8899994
40,Garbes-Dizon Supermarket,15.0333004,120.6910019
41,SM Hypermarket,15.1687002,120.5790024
42,SaveMore,10.3247004,123.9349976
43,M & W Townstore,14.2073002,121.3499985
44,Samulco,7.1524701,125.6579971
45,Goodwill,14.2648001,121.4380035
46,Walter Mart Sta. Cruz,14.2563000,121.3919983
47,Goodwill,14.2867002,121.4110031
48,ICM - Supermarket,9.6560202,123.8700027
49,few Talipapa & School Supplies,14.8420000,121.0910034
50,C & A Grocery,14.8364000,121.0849991
51,Talipapa,14.8371000,121.0859985
52,SM Supermarket,15.0535002,120.6989975
53,Emilus Supermarket,14.4080000,120.9769974
54,Robinsons,14.6555996,120.9830017
55,Paco Market,14.7309999,120.9219971
56,Bulacan Market,14.7672997,120.8960037
57,Bonifacio Market,14.6576996,120.9850006
58,Sioland Supermarket,14.6929998,121.0299988
59,Puregold Jr.,14.6255999,120.9879990
60,Taguig People's Market,14.4884996,121.0609970
61,Super8,14.8542995,120.8160019
62,Granma's Supermarket,14.8521004,120.8170013
63,Rustan's Supermarket,14.5527000,121.0199966
64,LCC Mall,13.6197996,123.1800003
65,Robinsons E-Mall,13.6250000,123.1859970
66,Robetson Mall,13.6237001,123.1839981
67,Krisdale,13.8781004,120.9250031
68,Alvarez,13.8802996,120.9169998
69,Citimart,13.8806000,120.9169998
70,Royal Supermaket,11.7082005,122.3690033
71,Liana's Supermarket,14.4751997,121.0009995
72,Savemore,14.6122999,121.0319977
73,Waltemart Supermarket,14.2910995,120.9079971
74,Marianing Superstore,11.7104998,122.3649979
75,SM Hypermarket,14.3774004,121.0449982
76,Tropical Hut,14.4828997,121.0360031
77,Maki SP,11.7060003,122.3639984
78,Garcia's,14.6208000,121.0220032
79,Ong SIn Sui,15.2230997,120.5749969
80,Citimart Bauan,13.7903996,121.0110016
81,Lopue's East,10.6637001,122.9670029
82,Consuelo,10.6665001,122.9489975
83,Kits Store,10.6677999,122.9479980
84,Munsterific,10.6716003,122.9599991
85,Robinson's Supermarket,10.6917000,122.9589996
86,Rallos,10.6702003,122.9710007
87,Variety Shop,10.6625004,122.9670029
88,La botica,10.6792002,122.9589996
89,Public-Market,13.7616997,120.9270020
90,Plaza Marcela,9.6516304,123.8519974
91,Po's Marketing,10.6669998,122.9449997
92,LCC Hardware,10.6668997,122.9489975
93,Clark Commissary,15.1820002,120.5329971
94,Robinson's Supermarket,14.3467999,121.0630035
95,Super8 Supermarket,14.6257000,121.1240005
96,Country Mart,10.6990004,122.9619980
97,SaveMore,10.6598997,122.9489975
98,Queendies,10.6599998,122.9499969
99,Savemore,14.4949999,121.2919998
100,"Jolibee, Sum-ag",10.6030998,122.9199982
101,Asean Supermart,16.4116993,120.5910034
102,Anson Supermarket,14.6287003,121.0650024
103,Robinsons Supermarket,14.5794001,121.0459976
104,Los Amigos Wet and Dry Market,7.1448398,125.4789963
105,Ever Supermarket,14.6591997,121.1129990
106,NCCC Calinan Supermarket,7.1912999,125.4550018
107,M&W Townstore,14.3640003,121.4840012
108,Puregold Jr.,14.4535999,120.9759979
109,Robinson's Supermarket,10.2601995,123.8300018
110,AA Supermarket,15.0298996,120.6930008
111,Ves Mart,15.0776997,120.6409988
