FID,name,tourism,longitude,latitude,Province
0,Donsol Dock,attraction,123.5780029,12.9229002,Sorsogon
1,Waterfall,attraction,123.5130005,12.9786997,Sorsogon
2,Chinatown Arch,attraction,120.9769974,14.5966997,Metro Manila
3,Taal Volcano,attraction,120.9990005,14.0075998,Batangas
4,Maquinit Hot Springs,attraction,120.2279968,11.9916,Palawan
5,Makinit Hot Springs,attraction,119.4469986,11.2898998,Palawan
6,Hinulugang Taktak,attraction,121.1679993,14.5945997,Rizal
7,Hinagdanan Cave,attraction,123.8010025,9.6254597,Bohol
8,Japanese Garden,attraction,121.5110016,14.2835999,Laguna
9,Casino Filipino Davao,attraction,125.6419983,7.1036701,Davao del Sur
10,Asia's Largest Balete Tree,attraction,121.4769974,15.7697001,Aurora
11,Crosby Park,attraction,120.6449966,16.3638,Benguet
12,Giselle Beach Haus,attraction,121.973999,12.2596998,Romblon
13,Ilog Maria,attraction,120.9680023,14.1892004,Cavite
14,Bunga Falls,attraction,121.3980026,14.1449003,Laguna
15,Boat Station 1,attraction,121.9219971,11.9643002,Aklan
16,Sugong Hanging Coffins Viewpoint,attraction,120.901001,17.0736008,Mountain Province
17,Lourdes Grotto Baguio,attraction,120.5810013,16.4095993,Benguet
18,Wright Park,attraction,120.6190033,16.4155006,Benguet
19,Good Shepherd Convent,attraction,120.6259995,16.4223003,Benguet
20,Tarsier Sanctuary,attraction,123.9530029,9.6911898,Bohol
21,ROCK,attraction,123.2630005,10.4988003,Negros Occidental
22,"Shrine of Our Lady, Mother of Fair Love",attraction,121.0220032,14.1415997,Cavite
23,Riverford Nature Park,attraction,125.5199966,7.09407,Davao del Sur
24,Fertility Tree,attraction,121.2429962,14.1597996,Laguna
25,Natalio Enriquez House,attraction,121.5240021,13.9633999,Quezon
26,Gala-Rodriguez Ancestral House,attraction,121.5250015,13.9619999,Quezon
27,Mitra Ranch,attraction,118.7350006,9.8116503,Palawan
28,Dao sa SU,attraction,121.2409973,14.1630001,Laguna
29,Daylight Hole,attraction,118.8949966,10.1577997,Palawan
30,Tamesis Tree,attraction,121.2360001,14.1567001,Laguna
31,Mcarthur Field,attraction,124.8499985,8.3936796,Bukidnon
32,Balete Tree,attraction,123.439003,10.4612999,Negros Occidental
33,Bird Sanctuary,attraction,124.0240021,10.2444,Cebu
34,Mangroves,attraction,124.5449982,11.4769001,Biliran
35,Peace Bell,attraction,121.0490036,14.6503,Metro Manila
36,The Glass Garden,attraction,121.0820007,14.6192999,Metro Manila
37,Flat Rocks,attraction,121.2300034,14.1476002,Laguna
38,Kuhala Bay Resort,attraction,121.2289963,14.4706001,Laguna
39,Taiei Maru,attraction,119.9700012,12.0176001,Palawan
40,Teru Kaze,attraction,120.0800018,11.9742002,Palawan
41,Kogyo,attraction,120.0400009,11.9799995,Palawan
42,Olympia,attraction,120.060997,11.9712,Palawan
43,Irako,attraction,120.0400009,11.9678001,Palawan
44,Akitsushima,attraction,119.973999,11.9870996,Palawan
45,Lusong gunboat,attraction,120.0240021,11.9708996,Palawan
46,Nayong Pilipino,attraction,120.5289993,15.2025995,Pampanga
47,Expo Pilipino,attraction,120.5279999,15.2047997,Pampanga
48,The Water Park,attraction,120.5110016,15.1941996,Pampanga
49,Buho Rock,attraction,124.401001,10.6285,Cebu
50,Kapok Tree,attraction,121.2409973,14.1639004,Laguna
51,Sagbayan Peak,attraction,124.072998,9.9275303,Bohol
52,Calijon Waterfall,attraction,121.1179962,14.0447998,Batangas
53,Marabut Xtreme Experience,attraction,125.1819992,11.1969995,Samar
54,Makiling Botanic Gardens,attraction,121.2340012,14.1567001,Laguna
55,Salakot Waterfall,attraction,118.5220032,9.7025995,Palawan
56,Kalayaan Twin Falls,attraction,121.4820023,14.3212996,Laguna
57,Dasmariñas City Welcome Arch,attraction,120.9290009,14.2917004,Cavite
58,Riverstone Castle,attraction,123.5830002,9.8882904,Cebu
59,WINACA,attraction,120.6309967,16.4848003,Benguet
60,Mud Springs,attraction,121.2210007,14.1365995,Laguna
61,National Arts Center,attraction,121.2160034,14.1629,Laguna
62,Lantaw Bukid,attraction,125.473999,7.1464801,Davao del Sur
63,Baluarte,attraction,120.3769989,17.5508003,Ilocos Sur
64,Flower Clock,attraction,120.9800034,14.5832996,Metro Manila
65,Halamanang Pilipino,attraction,120.9820023,14.5854998,Metro Manila
66,Wheel of Fate,attraction,121.0950012,14.2825003,Laguna
67,Lost Eden,attraction,121.0210037,14.4624996,Metro Manila
68,Falsabraga de Media Naranja,attraction,120.9700012,14.5952997,Metro Manila
69,Mahabang Buhangin,attraction,122.939003,14.4765997,Camarines Norte
70,Paracale Senior Citizens' Center,attraction,122.7809982,14.2727003,Camarines Norte
71,United Paragon Mining Corp,attraction,122.7990036,14.2880001,Camarines Norte
72,Gen-Taurus Tailoring Shop,attraction,120.9560013,14.2982998,Cavite
73,Air Gym Fitness Center,attraction,120.9550018,14.2983999,Cavite
74,Floro BluePrinting,attraction,120.9550018,14.2996998,Cavite
75,Balangay Boats Dock Site,attraction,120.9800034,14.5572004,Metro Manila
76,Galerian Ferry,attraction,120.9029999,13.5057001,Oriental Mindoro
77,Statue of David,attraction,125.5839996,7.0415001,Davao del Sur
78,Hardin Sang Balo,attraction,123.1380005,10.4497995,Negros Occidental
79,Sto.Nino Shrine,attraction,125.0019989,11.2358999,Leyte
80,The Old Corregidor Flagpole,attraction,120.5749969,14.3796997,Bataan
81,East Entrance,attraction,120.5920029,14.3885002,Bataan
82,Senior Officers Family Quarters Row,attraction,120.5739975,14.3793001,Bataan
83,West Entrance,attraction,120.5899963,14.3877001,Bataan
84,Campanario de Dumaguete,attraction,123.3079987,9.3049498,Negros Oriental
85,Aloha House,attraction,118.7350006,9.8062401,Palawan
86,Donsol Visitor Center,attraction,123.5780029,12.9231005,Sorsogon
87,Hagimit Falls,attraction,125.7229996,7.0666399,Davao del Norte
88,Zip City,attraction,125.5690002,7.09091,Davao del Sur
89,Japanese Cave House,attraction,125.6959991,7.1765099,Davao del Norte
90,Ruby Jar Factory (Burnay/Pottery),attraction,120.3830032,17.5711994,Ilocos Sur
91,Yellow Submarine,attraction,120.3769989,17.5510998,Ilocos Sur
92,tigers,attraction,120.375,17.5519009,Ilocos Sur
93,snake,attraction,120.3769989,17.5513992,Ilocos Sur
94,Paintball Republic (Wall Climb),attraction,120.612999,16.3995991,Benguet
95,Horse-Back Ride (Kabadjo Handlers),attraction,120.612999,16.3987007,Benguet
96,Lost Cemetery,attraction,120.6169968,16.3992996,Benguet
97,P.A.F. Jet Fighter,attraction,120.6190033,16.3603992,Benguet
98,Cadet Circle,attraction,120.6279984,16.3715,Benguet
99,Air Plane,attraction,120.6190033,16.3602009,Benguet
100,The Long Gray Line (Graduate's Class Seals),attraction,120.6200027,16.3609009,Benguet
101,Kiosk '55,attraction,120.6200027,16.3596992,Benguet
102,Propeller Blade,attraction,120.6200027,16.3610001,Benguet
103,Tree House - P.M.A.,attraction,120.6190033,16.3595009,Benguet
104,Wishing Well 63,attraction,120.6220016,16.3663998,Benguet
105,Huey Helicopter,attraction,120.6190033,16.3602009,Benguet
106,Enchanted River,attraction,126.3550034,8.4588299,Surigao del Sur
107,Tinuy-an Falls,attraction,126.2279968,8.1719904,Agusan del Sur
108,Paintball Republic,attraction,120.612999,16.3999996,Benguet
109,Cape Engaño Lighthouse,attraction,122.1380005,18.5799007,Cagayan
110,The Site Arcade,attraction,125.6090012,7.0782399,Davao del Sur
111,Bukilat Cave,attraction,124.5149994,10.6597004,Cebu
112,Philippine Science Centrum,attraction,121.0810013,14.6294003,Metro Manila
113,Casa Residencia,attraction,123.4169998,8.6680498,Zamboanga del Norte
114,Rizal Shrine,attraction,123.4169998,8.6671104,Zamboanga del Norte
115,Casa Redonda,attraction,123.4169998,8.6674099,Zamboanga del Norte
116,Casa Cuadrado,attraction,123.4160004,8.6673698,Zamboanga del Norte
117,Mi Retiro Rock,attraction,123.4160004,8.6671896,Zamboanga del Norte
118,Punto Del Desembarco De Rizal,attraction,123.4189987,8.6563301,Zamboanga del Norte
119,Death Site of Del Pilar,attraction,120.6269989,17.1417999,Ilocos Sur
120,Pagsanjan Falls,attraction,121.5,14.2625999,Laguna
121,White Hut Resort,attraction,124.5439987,7.2001801,Cotabato
122,Kutawato Cave,attraction,124.2419968,7.2199602,Maguindanao
123,Cebu Zoo,attraction,123.8850021,10.3374996,Cebu
124,Shiphaus,attraction,124.1490021,9.7824602,Bohol
125,Bacong Treehouse,attraction,123.2969971,9.2445602,Negros Oriental
126,Maria Cristina Falls,attraction,124.1949997,8.1832304,Lanao del Norte
127,Tinago Falls,attraction,124.185997,8.1592102,Lanao del Norte
128,Loon Macaques,attraction,123.836998,9.8590498,Bohol
129,Perya,attraction,121.0930023,14.6380997,Metro Manila
130,Timmangtang Rock,attraction,120.8710022,18.6084995,Ilocos Norte
131,Rajah Sikatuna Protected Landscape Nature Center,attraction,124.1240005,9.7054596,Bohol
132,Historic Fort Bonifacio Tunnel Outlet (Amapola),attraction,121.0579987,14.5488997,Metro Manila
133,Lourdes Grotto,attraction,121.9250031,13.2777996,Marinduque
134,Mall of Asia Eye,attraction,120.9789963,14.5328999,Metro Manila
135,Bolinao Waterfalls,attraction,119.8649979,16.3078003,Pangasinan
136,Las Piñas Bamboo Organ,attraction,120.9810028,14.4812002,Metro Manila
137,Tukuran falls,attraction,120.973999,13.4335003,Oriental Mindoro
138,Valencia Pottery,attraction,124.189003,9.6104803,Bohol
139,Manaba River,attraction,124.3000031,9.6157799,Bohol
140,Salas Ancestral House,attraction,124.3690033,9.6519604,Bohol
141,Inang-angan Stone Stairway,attraction,123.7910004,9.8000898,Bohol
142,Ilijan Hill and Man Made Lagoon,attraction,123.9420013,9.9133902,Bohol
143,Bayongan Dam Viewing Deck,attraction,124.3539963,9.9548798,Bohol
144,Bayongan Manmade Lake,attraction,124.3539963,9.9544096,Bohol
145,Camanaga Side of Bayongan Dam,attraction,124.3420029,9.9524803,Bohol
146,Masanao Hills,attraction,124.3130035,10.0009003,Bohol
147,Batungay Twin Peak,attraction,124.3099976,10.0382004,Bohol
148,Garcia Hilltop,attraction,124.314003,10.0007,Bohol
149,Clarin Mangrove Eco-tour,attraction,124.0220032,9.9672203,Bohol
150,Baluarte,attraction,123.7600021,9.8895597,Bohol
151,Farm on the Rocks,attraction,123.7929993,9.8441601,Bohol
152,Mount Tanawan,attraction,123.8099976,9.7817497,Bohol
153,Samantha Python,attraction,123.8349991,9.7437096,Bohol
154,Mag-Aso Falls,attraction,123.9110031,9.7845898,Bohol
155,Padhan Hills;Old Maribojoc Port,attraction,123.8389969,9.7360802,Bohol
156,Bilar River,attraction,124.1070023,9.7158203,Bohol
157,Ricefields of Batuan,attraction,124.1419983,9.77071,Bohol
158,Chocolate Hills Complex,attraction,124.1669998,9.79881,Bohol
159,MacArthur's Cap,attraction,124.1419983,9.59902,Bohol
160,Mansasa Seaside,attraction,123.8659973,9.6336098,Bohol
161,Camangcamang Sand Bar,attraction,124.4840012,10.2901001,Bohol
162,Underwater Bridge,attraction,124.4860001,10.3115997,Bohol
163,Underwater Grotto,attraction,124.4970016,10.3081999,Bohol
164,Underwater Image of Sto Nino,attraction,124.5080032,10.3023005,Bohol
165,Underwater Image of Sto Nino,attraction,124.4810028,10.3065996,Bohol
166,Ikaduha Fish Sanctuary (2nd Shoal),attraction,122.512001,12.5166998,Romblon
167,Lambingan Falls,attraction,122.5780029,12.4911003,Romblon
168,Natural Pool (Pawala River),attraction,122.5370026,12.4898005,Romblon
169,Magdiwang Boat Ride,attraction,122.5179977,12.4916,Romblon
170,Looc Fish Sanctuary,attraction,121.9830017,12.2461004,Romblon
